foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,13,False,,0.3305,0.4964,1.1695,0.4964,0.2964,0.006,17.8886
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,14,False,,0.3213,0.5024,1.1787,0.5024,0.2964,0.006,17.8888
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,0,False,,0.0709,-0.0432,0.0709,0.0455,0.2806,0.0065,2.4906
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,1,False,,0.0738,-0.038,0.0738,0.0419,0.2806,0.0065,2.4905
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,2,False,,0.0736,-0.0384,0.0736,0.0421,0.2806,0.0065,2.4908
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,3,False,,0.0733,-0.0389,0.0733,0.0425,0.2806,0.0065,2.4906
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,4,False,,0.0736,-0.0385,0.0736,0.0422,0.2806,0.0065,2.4907
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,5,False,,0.0747,-0.0362,0.0747,0.0408,0.2806,0.0065,2.4908
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,6,False,,0.0736,-0.0383,0.0736,0.0421,0.2806,0.0065,2.4904
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,7,False,,0.0718,-0.0417,0.0718,0.0445,0.2806,0.0065,2.4906
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,8,False,,0.071,-0.043,0.071,0.0454,0.2806,0.0065,2.4906
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,9,False,,0.0731,-0.0393,0.0731,0.0428,0.2806,0.0065,2.4904
0.8,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,10,False,,0.0737,-0.0382,0.0737,0.0421,0.2806,0.0065,2.4906
