foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,5,False,,0.3941,0.2905,0.6059,0.2905,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,6,False,,0.3945,0.29,0.6055,0.29,0.2861,0.0062,14.6885
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,7,False,,0.4051,0.275,0.5949,0.275,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,8,False,,0.4176,0.2556,0.5824,0.2557,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,9,False,,0.3993,0.2834,0.6007,0.2834,0.2861,0.0062,14.6885
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,10,False,,0.4012,0.2808,0.5988,0.2808,0.2861,0.0062,14.6885
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,11,False,,0.4141,0.2613,0.5859,0.2613,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,12,False,,0.4149,0.26,0.5851,0.26,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,13,False,,0.4084,0.2701,0.5916,0.2701,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,14,False,,0.4048,0.2755,0.5952,0.2755,0.2861,0.0062,14.6886
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,0,False,,0.354,0.4798,1.146,0.48,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,1,False,,0.3197,0.5034,1.1803,0.5034,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,2,False,,0.332,0.4954,1.168,0.4954,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,3,False,,0.3343,0.4938,1.1657,0.4938,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,4,False,,0.3128,0.5077,1.1872,0.5077,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,5,False,,0.3068,0.5113,1.1932,0.5113,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,6,False,,0.3139,0.507,1.1861,0.507,0.2964,0.006,17.8887
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,7,False,,0.3343,0.4938,1.1657,0.4938,0.2964,0.006,17.8888
0.4,0.02,0.01,go2_flat.xml,1.5,0.0,0.0,trot,8,False,,0.3565,0.478,1.1435,0.4782,0.2964,0.006,17.8888
